date,total_views,unique_views
2025-05-10,0,0
2025-05-11,1,1
2025-05-12,0,0
2025-05-13,0,0
2025-05-14,1,1
2025-05-15,1,1
2025-05-16,0,0
2025-05-17,0,0
2025-05-18,0,0
2025-05-19,9,1
2025-05-20,8,1
2025-05-21,0,0
2025-05-22,4,1
2025-05-23,2,2
2025-05-24,6,1
2025-05-25,2,2
2025-05-26,1,1
2025-05-27,1,1
2025-05-28,2,1
2025-05-29,2,2
2025-05-30,1,1
2025-05-31,4,1
2025-06-01,2,2
2025-06-02,50,4
2025-06-03,0,0
2025-06-04,0,0
2025-06-05,12,1
2025-06-06,3,1
2025-06-07,0,0
2025-06-08,6,2
2025-06-09,0,0
2025-06-10,15,3
2025-06-11,1,1
2025-06-12,3,1
2025-06-13,0,0
2025-06-14,0,0
2025-06-15,0,0
2025-06-16,0,0
2025-06-17,6,2
2025-06-18,4,1
2025-06-19,0,0
2025-06-20,1,1
2025-06-21,5,1
